sector	ticker	nameEng	nameOriginalShort	nameOriginal	listedFrom	listedTill	traceColor	wikiPageIdOriginal	wikiPageIdEng
	Borsa Istanbul		Borsa Istanbul						
Borsa Istanbul	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous			rgb(199,78,165)		
Borsa Istanbul	Agriculture	Agriculture	Agriculture	Agriculture			rgb(220, 20, 60)		
Borsa Istanbul	Basic Materials	Basic Materials	Basic Materials	Basic Materials			rgb(50, 205, 50)		
Borsa Istanbul	Energy	Energy	Energy	Energy			rgb(199, 21, 133)		
Borsa Istanbul	Industrials	Industrials	Industrials	Industrials			rgb(106, 90, 205)		
Borsa Istanbul	Consumer Staples	Consumer Staples	Consumer Staples	Consumer Staples			rgb(255, 99, 71)		
Borsa Istanbul	Utilities	Utilities	Utilities	Utilities			rgb(255, 127, 80)		
Borsa Istanbul	Finance	Finance	Finance	Finance			rgb(70, 130, 180)		
Borsa Istanbul	Real Estate	Real Estate	Real Estate	Real Estate			rgb(60, 179, 113)		
Borsa Istanbul	Health Care	Health Care	Health Care	Health Care			rgb(244, 164, 96)		
Borsa Istanbul	Technology	Technology	Technology	Technology			rgb(238, 232, 170)		
Borsa Istanbul	Consumer Discretionary	Consumer Discretionary	Consumer Discretionary	Consumer Discretionary			rgb(75, 0, 130)		
Borsa Istanbul	Telecommunications	Telecommunications	Telecommunications	Telecommunications			rgb(178, 34, 34)		
Agriculture	AGROT			AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.					
Agriculture	IZINV			İZ YATIRIM HOLDİNG A.Ş.					
Agriculture	KNFRT			KONFRUT TARIM A.Ş.					
Agriculture	OZSUB			ÖZSU BALIK ÜRETİM A.Ş.					
Agriculture	YAPRK			YAPRAK SÜT VE BESİ ÇİFTLİKLERİ SANAYİ VE TİCARET A.Ş.					
Basic Materials	ALMAD			ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.					
Basic Materials	CVKMD			CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.					
Basic Materials	IPEKE			İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.					
Basic Materials	KOZAL			KOZA ALTIN İŞLETMELERİ A.Ş.					
Basic Materials	KOZAA			KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.					
Basic Materials	PRKME			PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.					
Consumer Discretionary	AYCES			ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.					
Consumer Discretionary	AVTUR			AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.					
Consumer Discretionary	BYDNR			BAYDÖNER RESTORANLARI A.Ş.					
Consumer Discretionary	BIGCH			BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.					
Consumer Discretionary	DOCO			DO & CO AKTIENGESELLSCHAFT					
Consumer Discretionary	ETILR			ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.					
Consumer Discretionary	KSTUR			KUŞTUR KUŞADASI TURİZM ENDÜSTRİSİ A.Ş.					
Consumer Discretionary	MAALT			MARMARİS ALTINYUNUS TURİSTİK TESİSLER A.Ş.					
Consumer Discretionary	MARTI			MARTI OTEL İŞLETMELERİ A.Ş.					
Consumer Discretionary	MERIT			MERİT TURİZM YATIRIM VE İŞLETME A.Ş.					
Consumer Discretionary	PKENT			PETROKENT TURİZM A.Ş.					
Consumer Discretionary	TABGD			TAB GIDA SANAYİ VE TİCARET A.Ş.					
Consumer Discretionary	TEKTU			TEK-ART İNŞAAT TİCARET TURİZM SANAYİ VE YATIRIMLAR A.Ş.					
Consumer Discretionary	ULAS			ULAŞLAR TURİZM ENERJİ TARIM GIDA VE İNŞAAT YATIRIMLARI A.Ş.					
Consumer Staples	ARZUM			ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.					
Consumer Staples	BIMAS			BİM BİRLEŞİK MAĞAZALAR A.Ş.					
Consumer Staples	BIZIM			BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.					
Consumer Staples	CRFSA			CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.					
Consumer Staples	CASA			CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.					
Consumer Staples	DCTTR			DCT TRADİNG DIŞ TİCARET A.Ş.					
Consumer Staples	DOAS			DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.					
Consumer Staples	EBEBK			EBEBEK MAĞAZACILIK A.Ş.					
Consumer Staples	KIMMR			ERSAN ALIŞVERİŞ HİZMETLERİ VE GIDA SANAYİ TİCARET A.Ş.					
Consumer Staples	GENIL			GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.					
Consumer Staples	GMTAS			GİMAT MAĞAZACILIK SANAYİ VE TİCARET A.Ş.					
Consumer Staples	INTEM			İNTEMA İNŞAAT VE TESİSAT MALZEMELERİ YATIRIM VE PAZARLAMA A.Ş.					
Consumer Staples	KOTON			KOTON MAĞAZACILIK TEKSTİL SANAYİ VE TİCARET A.Ş.					
Consumer Staples	KUVVA			KUVVA GIDA TİCARET VE SANAYİ YATIRIMLARI A.Ş.					
Consumer Staples	MAVI			MAVİ GİYİM SANAYİ VE TİCARET A.Ş.					
Consumer Staples	MEPET			MEPET METRO PETROL VE TESİSLERİ SANAYİ TİCARET A.Ş.					
Consumer Staples	MGROS			MİGROS TİCARET A.Ş.					
Consumer Staples	MOPAS			MOPAŞ MARKETÇİLİK GIDA SANAYİ VE TİCARET A.Ş.					
Consumer Staples	PSDTC			PERGAMON STATUS DIŞ TİCARET A.Ş.					
Consumer Staples	SANKO			SANKO PAZARLAMA İTHALAT İHRACAT A.Ş.					
Consumer Staples	SELEC			SELÇUK ECZA DEPOSU TİCARET VE SANAYİ A.Ş.					
Consumer Staples	SUWEN			SUWEN TEKSTİL SANAYİ PAZARLAMA A.Ş.					
Consumer Staples	SOKM			ŞOK MARKETLER TİCARET A.Ş.					
Consumer Staples	TKNSA			TEKNOSA İÇ VE DIŞ TİCARET A.Ş.					
Consumer Staples	TGSAS			TGS DIŞ TİCARET A.Ş.					
Consumer Staples	VAKKO			VAKKO TEKSTİL VE HAZIR GİYİM SANAYİ İŞLETMELERİ A.Ş.					
Finance	ADGYO			ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	AGHOL			AG ANADOLU GRUBU HOLDİNG A.Ş.					
Finance	AGESA			AGESA HAYAT VE EMEKLİLİK A.Ş.					
Finance	AHSGY			AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	AKBNK			AKBANK T.A.Ş.					
Finance	AKYHO			AKDENİZ YATIRIM HOLDİNG A.Ş.					
Finance	AKFGY			AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	AKSGY			AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	AKMGY			AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	AKGRT			AKSİGORTA A.Ş.					
Finance	ALGYO			ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	ALARK			ALARKO HOLDİNG A.Ş.					
Finance	ALBRK			ALBARAKA TÜRK KATILIM BANKASI A.Ş.					
Finance	ALK			ALBARAKA TÜRK KATILIM BANKASI A.Ş.					
Finance	ANSGR			ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ					
Finance	ANHYT			ANADOLU HAYAT EMEKLİLİK A.Ş.					
Finance	ASGYO			ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	ATAGY			ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	AGYO			ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	ATSYH			ATLANTİS YATIRIM HOLDİNG A.Ş.					
Finance	ATLAS			ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.					
Finance	AVGYO			AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	AVHOL			AVRUPA YATIRIM HOLDİNG A.Ş.					
Finance	AVPGY			AVRUPAKENT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	A1CAP			A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.					
Finance	ACP			A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.					
Finance	BASGZ			BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	BEGYO			BATI EGE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	BERA			BERA HOLDİNG A.Ş.					
Finance	BRKVY			BİRİKİM VARLIK YÖNETİM A.Ş.					
Finance	BRYAT			BORUSAN YATIRIM VE PAZARLAMA A.Ş.					
Finance	COSMO			COSMOS YATIRIM HOLDİNG A.Ş.					
Finance	CRDFA			CREDITWEST FAKTORİNG A.Ş.					
Finance	DAGHL			DAGİ YATIRIM HOLDİNG A.Ş.					
Finance	DENGE			DENGE YATIRIM HOLDİNG A.Ş.					
Finance	DZGYO			DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	DERHL			DERLÜKS YATIRIM HOLDİNG A.Ş.					
Finance	DSTKF			DESTEK FİNANS FAKTORİNG A.Ş.					
Finance	DOHOL			DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.					
Finance	DGGYO			DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	ECZYT			ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.					
Finance	ECILC			EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.					
Finance	EKGYO			EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	EUKYO			EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.					
Finance	EUYO			EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.					
Finance	ETYAT			EURO TREND YATIRIM ORTAKLIĞI A.Ş.					
Finance	EUHOL			EURO YATIRIM HOLDİNG A.Ş.					
Finance	EYGYO			EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	FZLGY			FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	GARFA			GARANTİ FAKTORİNG A.Ş.					
Finance	GRNYO			GARANTİ YATIRIM ORTAKLIĞI A.Ş.					
Finance	GEDIK			GEDİK YATIRIM MENKUL DEĞERLER A.Ş.					
Finance	GLCVY			GELECEK VARLIK YÖNETİMİ A.Ş.					
Finance	GLB			GLOBAL MENKUL DEĞERLER A.Ş.					
Finance	GLBMD			GLOBAL MENKUL DEĞERLER A.Ş.					
Finance	GLYHO			GLOBAL YATIRIM HOLDİNG A.Ş.					
Finance	GOZDE			GÖZDE GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.					
Finance	GRTHO			GRAINTURK HOLDİNG A.Ş.					
Finance	GSDHO			GSD HOLDİNG A.Ş.					
Finance	GLRYH			GÜLER YATIRIM HOLDİNG A.Ş.					
Finance	SAHOL			HACI ÖMER SABANCI HOLDİNG A.Ş.					
Finance	HLGYO			HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	HDFGS			HEDEF GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.					
Finance	HEDEF			HEDEF HOLDİNG A.Ş.					
Finance	HUBVC			HUB GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.					
Finance	ICB			ICBC TURKEY BANK A.Ş.					
Finance	ICBCT			ICBC TURKEY BANK A.Ş.					
Finance	ICUGS			ICU GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.					
Finance	INVEO			INVEO YATIRIM HOLDİNG A.Ş.					
Finance	INVES			INVESTCO HOLDİNG A.Ş.					
Finance	IEYHO			IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş.					
Finance	IDGYO			İDEALİST GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	IHLAS			İHLAS HOLDİNG A.Ş.					
Finance	IHYAY			İHLAS YAYIN HOLDİNG A.Ş.					
Finance	INFO			İNFO YATIRIM MENKUL DEĞERLER A.Ş.					
Finance	IYF			İNFO YATIRIM MENKUL DEĞERLER A.Ş.					
Finance	ISFIN			İŞ FİNANSAL KİRALAMA A.Ş.					
Finance	ISGYO			İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	ISGSY			İŞ GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.					
Finance	ISMEN			İŞ YATIRIM MENKUL DEĞERLER A.Ş.					
Finance	IYM			İŞ YATIRIM MENKUL DEĞERLER A.Ş.					
Finance	ISYAT			İŞ YATIRIM ORTAKLIĞI A.Ş.					
Finance	ISBIR			İŞBİR HOLDİNG A.Ş.					
Finance	KTLEV			KATILIMEVİM TASARRUF FİNANSMAN A.Ş.					
Finance	KERVN			KERVANSARAY YATIRIM HOLDİNG A.Ş.					
Finance	KZBGY			KIZILBÜK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	KLGYO			KİLER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
Finance	KLRHO			KİLER HOLDİNG A.Ş.					
Finance	KCHOL			KOÇ HOLDİNG A.Ş.					
Finance	KGYO			KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.					
